TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,VOLUME_KM3,HEADROPE_DEPTH_RBR,MODAL_GEAR_DEPTH,NET_DESC,SURVEY_SERIES,TRIP_ID.y,EVENT_NUMBER,EVENT_TYPE,EVENT_CODE,USABLE.y,DATE,YEAR,MONTH,DAY,DAY_NIGHT.y,STRATUM.y,BLOCK.y,STATION_NAME,VESSEL_NAME.y,CAPTAIN,START_LATITUDE.y,START_LONGITUDE.y,END_LATITUDE,END_LONGITUDE,BEGIN_DEPLOYMENT_TIME,END_DEPLOYMENT_TIME,BEGIN_RETRIEVAL_TIME,END_RETRIEVAL_TIME,TOW_LENGTH_MINUTE.y,DIRECTION,TARGET_DEPTH.y,VESSEL_SPEED,SPEED_UNITS,DISTANCE_TRAVELLED.y,DISTANCE_UNITS.y,START_GEAR_DEPTH,END_GEAR_DEPTH,MODAL_GEAR_DEPTH.y,GMT_OFFSET_HOURS,SWELL_HEIGHT,BRIDGE_COMMENTS,DFO_STAT_AREA_CODE.y,DFO_STAT_SUBAREA_CODE.y,DOORSPREAD.y,ID,MON_NUM,MONTH1,Mon_Low,SEASON1
201778,BCSI-201778-FH08,Y,0,8,3,NA,FH08,CFV SEACREST,DAY,51.769,-127.907,20,1.43,NM,NA,12,MOUTH,30,MOUTH,9.539999999999999e-4,NA,0,CanTrawl 250,BCSI,201778,46,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH08,FH08,CFV SEACREST,NA,51.769,-127.907,51.746,-127.897,NA,1899-12-30T09:08:00Z,NA,NA,20,165,0,4.3,KNOTS,1.43,NM,NA,NA,0,-7,NA,NA,8,3,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH09,Y,30,8,16,NA,FH09,CFV SEACREST,DAY,51.708,-127.922,21,1.57,NM,NA,12,MOUTH,30,MOUTH,0.0010475999999999999,NA,30,CanTrawl 250,BCSI,201778,47,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH09,FH09,CFV SEACREST,NA,51.708,-127.922,51.682,-127.917,NA,1899-12-30T10:04:00Z,NA,NA,21,173,30,4.4,KNOTS,1.57,NM,NA,NA,30,-7,NA,NA,8,16,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH10,Y,15,8,16,NA,FH10,CFV SEACREST,DAY,51.643,-127.876,20,1.45,NM,NA,12,MOUTH,30,MOUTH,9.683999999999999e-4,NA,15,CanTrawl 250,BCSI,201778,48,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH10,FH10,CFV SEACREST,NA,51.643,-127.876,51.619,-127.873,NA,1899-12-30T11:28:00Z,NA,NA,20,176,15,4.3,KNOTS,1.45,NM,NA,NA,15,-7,NA,NA,8,16,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH11,Y,0,9,12,NA,FH11,CFV SEACREST,DAY,51.614,-127.757,16,1.2,NM,NA,12,MOUTH,30,MOUTH,7.992e-4,NA,0,CanTrawl 250,BCSI,201778,51,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH11,FH11,CFV SEACREST,NA,51.614,-127.757,51.612,-127.789,NA,1899-12-30T13:30:00Z,NA,NA,16,264,0,4.4,KNOTS,1.2,NM,NA,NA,0,-7,NA,NA,9,12,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH12,Y,30,9,12,NA,FH12,CFV SEACREST,DAY,51.559,-127.829,20,1.14,NM,NA,12,MOUTH,30,MOUTH,7.595999999999999e-4,NA,30,CanTrawl 250,BCSI,201778,52,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH12,FH12,CFV SEACREST,NA,51.559,-127.829,51.541,-127.839,NA,1899-12-30T14:22:00Z,NA,NA,20,199,30,3.4,KNOTS,1.14,NM,NA,NA,30,-7,NA,NA,9,12,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH13,Y,15,9,1,NA,FH13,CFV SEACREST,DAY,51.51,-127.878,24,1.89,NM,NA,12,MOUTH,30,MOUTH,0.0012599999999999998,NA,15,CanTrawl 250,BCSI,201778,53,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH13,FH13,CFV SEACREST,NA,51.51,-127.878,51.479,-127.869,NA,1899-12-30T15:20:00Z,NA,NA,24,170,15,4.7,KNOTS,1.89,NM,NA,NA,15,-7,NA,NA,9,1,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-FH14,Y,0,9,1,NA,FH14,CFV SEACREST,DAY,51.506,-127.779,20,1.46,NM,NA,12,MOUTH,30,MOUTH,9.72e-4,NA,0,CanTrawl 250,BCSI,201778,56,Midwater Trawl,6,Y,2017-10-02T00:00:00Z,2017,OCT,2,DAY,NA,FH14,FH14,CFV SEACREST,NA,51.506,-127.779,51.517,-127.744,NA,1899-12-30T16:53:00Z,NA,NA,20,63,0,4.4,KNOTS,1.46,NM,NA,NA,0,-7,NA,NA,9,1,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-HP01,Y,30,8,2,NA,HP01,CFV SEACREST,DAY,51.713,-128.074,20,1.41,NM,NA,12,MOUTH,30,MOUTH,9.395999999999999e-4,NA,30,CanTrawl 250,BCSI,201778,32,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,HP01,HP01,CFV SEACREST,NA,51.713,-128.074,51.722,-128.039,NA,1899-12-30T09:46:00Z,NA,NA,20,67,30,4.2,KNOTS,1.41,NM,NA,NA,30,-7,NA,NA,8,2,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-HP02,Y,15,8,2,NA,HP02,CFV SEACREST,DAY,51.739,-128.001,20,1.46,NM,NA,12,MOUTH,30,MOUTH,9.72e-4,NA,15,CanTrawl 250,BCSI,201778,33,Midwater Trawl,6,Y,2017-10-01T00:00:00Z,2017,OCT,1,DAY,NA,HP02,HP02,CFV SEACREST,NA,51.739,-128.001,51.745,-127.963,NA,1899-12-30T10:38:00Z,NA,NA,20,76,15,4.4,KNOTS,1.46,NM,NA,NA,15,-7,NA,NA,8,2,NA,13,10,OCTOBER,Oct,FALL
201778,BCSI-201778-JS01,Y,15,12,3,NA,JS01,CFV SEACREST,DAY,50.538,-126.694,20,1.02,NM,NA,12,MOUTH,30,MOUTH,6.804e-4,NA,15,CanTrawl 250,BCSI,201778,128,Midwater Trawl,6,Y,2017-10-08T00:00:00Z,2017,OCT,8,DAY,NA,JS01,JS01,CFV SEACREST,NA,50.538,-126.694,50.525,-126.677,NA,1899-12-30T09:56:00Z,NA,NA,20,140,15,3,KNOTS,1.02,NM,NA,NA,15,-7,NA,NA,12,3,NA,13,10,OCTOBER,Oct,FALL
